segreg	segregate
segregsh	segregation
sism^o	seismograph
sism^o(	seismology
sez	seize
sezb	seizable
sezd	seized
sess	seizes
seshu	seizure
seldm	seldom
selek	select
selekt	selected
	
# Page 201 Column 3	
seleksh	selection
selekv	selective
selekvte	selectivity
selekman	selectman
selekr	selector
selenem	selenium
self	self
s(^as(esh	self-assertion
s(^ashu^t	self-assured
s(^kman	self-command
s(^kplasnse	self-complacency
s(^kse	self-conceit
s(^kf	self-confidence
s(^kshus	self-conscious
s(^ktnd	self-contained
s(k^deksh	self-contradiction
s(k^dekre	self-contradictory
s(k^l	self-control
s(^d-set	self-deceit
s(^dfens	self-defense
s(^dnil	self-denial
s(ds^ksh	self-destruction
s(^e~mn^t	self-determined
s(^edu^t	self-educated
s(^estm	self-esteem
	
# Page 202 Column 1	
s(^evdn	self-evident
s(^esamnsh	self-examination
s(^esk'	self-executing
s(^gv	self-government
s(^mp	self-importance
s(^ndust	self-induced
s(^ndlj	self-indulgence
s(n^s	self-interest
s(^sh	selfish
s(^shnes	selfishness
ns^sh	unselfish
s(^lv	self-love
s(^mad	self-made
s(^prsepsh	self-perception
s(^posst	self-possessed
s(^relins	self-reliance
s(^renun-sa&'sh	self-renunciation
s(^rprch	self-reproach
s(^res	self-respect
srs^nt	self-restraint
s(^richus	self-righteous
s(^sakref	self-sacrifice
s(^sat^t	self-satisfied
s(^sta~te~	self-starter
s(^stild	self-styled
	
# Page 202 Column 2	
s(^suf	self-sufficient
s(^s^t'	self-supporting
s(^serend	self-surrender
selvj	selvage
semnteks	semantics
semfor	semaphore
semblans	semblance
semeste~	semester
semanl	semiannual
semes)ekl	semicircle
semes^l	semicircular
semes)vizd	semicivilized
semekoln	semicolon
semedtacht	semidetached
semefinl	semifinal
semna~	seminar
semnre	seminary
semesoshl	semiofficial
semeopak	semiopaque
semepreshus	semiprecious
semet^parent	semitransparent
semeke	semiweekly
senat	senate
senate~	senator
senatrl	senatorial
	
# Page 202 Column 3	
senatra|	senatorially
senate~^sh	senatorship
sen	send
gd-sen	godsend
missent	missent
sen^r	sender
sent	sent
senl	senile
sen^l	senility
senr	senior
sen^r	seniority
sensa	sensate
n-sensa	insensate
sensash	sensation
sensashl	sensational
sensashl-sm	sensationalism
sensasha|	sensationally
sens	sense
sensl	senseless
sens^b	sensibility
sensb	sensible
senstv	sensitive
senstvte	sensitivity
senstezash	sensitization
senstiz	sensitize
	
# Page 203 Column 1	
senstizer	sensitizer
sensore	sensory
senshul	sensual
senushul-sm	sensualism
senshu^l	sensuality
senshule	sensually
senshuus	sensuous
sentns	sentence
sentnsh	sententious
sensht	sentient
senshns	sentience
senshse	sentiency
sentem	sentiment
sent^m	sentimental
sent^m-sm	sentimentalism
sent^m^st	sentimentalist
sentem^l	sentimentality
sent^miz	sentimentalize
sent^me	sentimentally
sen-tnl	sentinel
sentre	sentry
sepr	separate
sepr^b	separability
seprb	separable
sepre	separately
	
# Page 203 Column 2	
seprsh	separation
sepr^st	separatist
seprv	separative
sepr^r	separator
sepa&'	sepia
sepoe	sepoy
sepss	sepsis
septek	septic
a^sep	antiseptic
sepul	sepulcher
sepull	sepulchral
sepultr	sepulture
seke_l	sequel
seke_ns	sequence
seke_ste~	sequester
seke_ste~d	sequestered
seke_stra	sequestrate
seke_strash	sequestration
seke_n	sequin
sekoa&'	Sequoia
seraf	seraph
serafk	seraphic
serafm	seraphim
seba&'n	Serbian
s(e~nad	serenade
	
# Page 203 Column 3	
s(e~nata	serenata
seren	serene
serene	serenely
seren-nes	sereneness
ser^nt	serenity
sef	serf
s(ej	serge
sajnt	sergeant
sera&'l	serial
serla|	serially
seres	series
sers	serious
sersnes	seriousness
se~mn	sermon
se~mniz	sermonize
sepnt	serpent
sepntin	serpentine
serm	serum
serus	serous
sev	serve
sevnt	servant
sevd	served
sevr	server
seves	service
sevesb	serviceable
	
# Page 204 Column 1	
sevl	servile
sev^l	servility
sevte~	servitor
sevtu	servitude
ssme	sesame
sesh	session
sete	settee
setl	settle
setld	settled
setlm	settlement
setlr	settler
n-setld	unsettled
sever	sever
severb	severable
severans	severance
sev	several
sevte	severalty
sever	severe
sev^r	severity
so	sew
sod	sewed
son	sewn
seur	sewer
seuj	sewage
seurj	sewerage
	
# Page 204 Column 2	
sextn	sextant
sextet	sextet
sextn	sexton
shabe	shabby
shabe|	shabbily
shabe-nes	shabbiness
shakl	shackle
shad	shade
shader	shadier
shade^st	shadiest
shade|	shadily
shadenes	shadiness
shado	shadow
shadoe	shadowy
shade	shady
shaft	shaft
shak	shake
shakr	shaker
shake|	shakily
shakenes	shakiness
shakspra&'n	Shakespearean
sh	shall
shalo	shallow
shaloe	shallowly
shalones	shallowness
	
# Page 204 Column 3	
shamb	shamble
sham	shame
shamfast	shamefaced
shamf	shameful
shaml	shameless
shampu	shampoo
shamrok	shamrock
shangi	shanghai
shank	shank
shnt	shan't
shap	shape
shapt	shaped
shapl	shapeless
shape-nes	shapeliness
shape	shapely
shapr	shaper
sha~	share
sha~d	shared
sha~^oldr	shareholder
sha~^r	sharer
shark	shark
sharp	sharp
sharpn	sharpen
sharpnd	sharpened
sharpne~	sharpener
	
# Page 205 Column 1	
sharpr	sharper
shapes	sharpest
sharpnes	sharpness
sharpshute~	sharpshooter
sharpuetd	sharp-witted
shate~	shatter
nonshaterb	non-shatterable
shate~d	shattered
she~	shear
she~d	sheared
she~|	shears
sheth	sheath
shepsh	sheepish
she~	sheer
she~^r	sheerer
she~^st	sheerest
she~e	sheerly
she~nes	sheerness
shelf	shelf
shelvs	shelves
shelak	shellac
shelfesh	shellfish
shelte~	shelter
shelte~d	sheltered
shelterl	shelterless
	
# Page 205 Column 2	
sherbt	sherbet
sherf	sheriff
shere	sherry
sheftl	shiftless
shel'	shilling
sheme~	shimmer
sheme~e	shimmery
shengl	shingle
sh	ship
re^sh	reship
sh^bor	shipboard
sh^blr	shipbuilder
sh^lod	shipload
sh^mat	shipmate
shm	shipment
sh^one~	shipowner
sh^r	shipper
sh^shap	shipshape
sh^rek	shipwreck
sh^ri	shipwright
sh^a~|d	shipyard
unsh	unship
shi~	shire
sherk	shirk
she~t	shirt
	
# Page 205 Column 3	
shevr	shiver
shok	shock
shode	shoddy
shu	shoe
shus	shoes
shut	shoot
shot	shot
shop	shop
shopkp^r	shopkeeper
shoplefte~	shoplifter
shopr	shopper
shopo_rn	shopworn
rkshop	workshop
sh^	short
sh^j	shortage
sh^kak	shortcake
sh^km'	shortcoming
sh^n	shorten
sh^r	shorter
sh^st	shortest
sh^nd	shorthand
sh^lavd	short-lived
sh^e	shortly
sh^nes	shortness
sh^sitd	shortsighted
	
# Page 206 Column 1	
sh^stp	shortstop
shd	should
sholdr	shoulder
shuvl	shovel
shaur	shower
shoe	showy
shoe|	showily
shoenes	showiness
shrud	shrewd
shreft	shrift
shrin	shrine
shrenk	shrink
shrank	shrank
shrenkj	shrinkage
shriv	shrive
shrevn	shriven
shraud	shroud
shrub	shrub
shrug	shrug
shude~	shudder
shude~d	shuddered
shufl	shuffle
shufld	shuffled
shn	shun
shnd	shunned
	
# Page 206 Column 2	
shnt	shunt
shut	shut
shut-d-n	shutdown
shute~	shutter
shi	shy
shid	shied
shir	shier
shist	shiest
sha&e	shyly
shines	shyness
sebelant	sibilant
sebel	sibyl
sek	sick
seknd	sickened
sekenes	sickliness
seke	sickly
seknes	sickness
si	side
bsi	beside
sibod	sideboard
s)ilng	sidelong
sipes	sidepiece
sids	sides
sistep	sidestep
sitrak	sidetrack
	
# Page 206 Column 3	
si^uok	sidewalk
sit	sight
sitl	sightless
sitenes	sightliness
site	sightly
sitse'	sight-seeing
n-site	unsightly
sgn	signal
sgn^r	signaler
sgniz	signalize
sgna|	signally
seg	signature
seg^re	signatory
n-sind	unsigned
sg	signify
n-sg	insignificant
sg	significant
sge	significantly
sg^f	signification
sil	silence
sil^r	silencer
silent	silent
sele_t	silhouette
selekn	silicon
seleka	silica
	
# Page 207 Column 1	
selek	silicate
selk	silk
selkn	silken
selkenes	silkiness
sekluum	silkworm
selt	silt
selv	silver
selvsmeth	silversmith
selvar	silverware
selve	silvery
semin	simian
semel	similar
semel^r	similarity
semele	simile
semeletu	similitude
semp	simple
semp^r	simpler
semp^st	simplest
semp^s	simplicity
semp^f	simplification
sempf	simplify
sempe	simply
sem^u	simulate
dsem^ush	dissimulation
simul	simultaneous
	
# Page 207 Column 2	
sens	since
sense	sincere
n-sense	insincere
sensee	sincerely
sens^r	sincerity
sinekr	sinecure
seneu	sinew
seneue	sinewy
senge~	singer
seng	single
sengnes	singleness
senge	singly
sengu	singular
sengu^r	singularity
sengue	singularly
seneste~	sinister
sene~	sinner
senuus	sinuous
senu^s	sinuosity
sinus	sinus
sifn	siphon
sifnd	siphoned
s(	sir
sir	sire
siren	siren
	
# Page 207 Column 3	
seloen	sirloin
serp	sirup
sste~	sister
sste~^d	sisterhood
sstelo	sister-in-law
sste~e	sisterly
setsh	situation
seteutd	situated
siz	size
sizb	sizable
siss	sizes
skletn	skeleton
skletniz	skeletonize
skptek	skeptic
skpt^k	skeptical
skeptss	skepticism
skech	sketch
skeche|	sketchily
skeur	skewer
skl	skill
skld	skilled
sklf	skillful
n-sklf	unskillful
skrmesh	skirmish
ske~t	skirt
	
# Page 208 Column 1	
ski	sky
skis	skies
skilark	skylark
skili	skylight
skiroket	skyrocket
skiskrapr	skyscraper
ski^d	skyward
slak	slack
slakn	slacken
slaknes	slackness
sland	slander
sland^r	slanderer
slandus	slanderous
slant	slant
slantd	slanted
slatne	slatternly
slote~	slaughter
slote~d	slaughtered
slote~^r	slaughterer
sloter'us	slaughterhouse
slav	slave
nslavm	enslavement
slav^'oldr	slaveholder
slavre	slavery
slavsh	slavish
	
# Page 208 Column 2	
slep	sleep
slepr	sleeper
slepe|	sleepily
slepe-nes	sleepiness
slepl	sleepless
slept	slept
slend	slender
slend^r	slenderer
slend^st	slenderest
slend-nes	slenderness
slis	slice
sli	slight
slir	slighter
sli-st	slightest
sla&e	slightly
slines	slightness
slimenes	sliminess
slime|	slimily
slim-nes	slimness
sleng	sling
slep	slip
slepnot	slipknot
slepj	slippage
slepr	slipper
sleprenes	slipperiness
	
# Page 208 Column 3	
slepshod	slipshod
slup	sloop
sloth	sloth
slothf	slothful
slauch	slouch
sluf	slough
sluvne	slovenly
slo	slow
slor	slower
slost	slowest
sloe	slowly
slones	slowness
slj	sludge
sluga~d	sluggard
slugsh	sluggish
slus	sluice
slusa_	sluiceway
slmbr	slumber
slmbrr	slumberer
slmbrus	slumberous
slng	slung
u^slng	underslung
slr	slur
slsh	slush
sli	sly
	
# Page 209 Column 1	
slir	slier
sli-st	sliest
sla&e	slyly
smo	small
smo-r	smaller
smo-st	smallest
smo-nes	smallness
smopox	smallpox
sma~t	smart
sma~tn	smarten
sma~te~	smarter
sma~tes	smartest
sma~te	smartly
sma~t-nes	smartness
smelt	smelt
smi~	smile
smi~|	smiles
smit	smite
smok	smoke
smokl	smokeless
smokr	smoker
smokstak	smokestack
smoke^st	smokiest
smoldr	smolder
smuth	smooth
	
# Page 209 Column 2	
smuthd	smoothed
smuthen	smoothen
smuthr	smoother
smuthes	smoothest
smuthnes	smoothness
smuth	smother
smuth^t	smothered
smj	smudge
smugl	smuggle
smugld	smuggled
snapshot	snapshot
snarl	snarl
sne~	sneer
snot	snort
snaut	snout
sno	snow
snobol	snowball
