n-dfat^b indefatigability
n-dfat indefatigable
n-dfinb indefinable
n-dfn indefinite
n-dfnn indefiniteness
ndelb indelible
ndelek indelicate
n-dmef indemnify
n-dm^nt indemnity
n-dn-t indent
n-dn-tsh indentation
n-dn-tr indenture
ndp independence
ndp independent
ne~mnat indeterminate
ndex index
nda&'n Indian
ndek indicate
ndeksh indication
ndekv indicative
ndek^r indicator
n-dit indict
n-ditb indictable
n-dit-m indictment
n-df indifference
n-df indifferent
ndjns indigence
ndjnus indigenous
ndjnt indigent

# Page 95 Column 3
ndjes indigestion
ndeg indignant
ndegnsh indignation
ndeg^nt indignity
ndego indigo
n-drk indirect
n-drkn indirectness
nds(enb indiscernible
ndskre indiscreet
ndskresh indiscretion
ndskrem indiscriminate
ndsp^b indispensibility
ndsp indispensable
ndspo indispose
ndspu indisputable
ndsolb indissoluble
ndstn indistinct
n-dst^b indistinguishable
n-dit indite
ndv individual
ndv^l individuality
n-dvesb indivisible
ndolens indolence
ndolent indolent
ndometb indomitable
ndos indorse
ndose indorsee

# Page 96 Column 1
ndosm indorsement
ndoser indorser
ndubtb indubitable
ndus induce
ndusm inducement
nduksh induction
ndeu indue
ndlj indulge
ndlj indulgence
ndljnt indulgent
ndra indurate
ndsl industrial
ndsus industrious
nds industry
enebra&'t inebriate
enef ineffable
nfkv ineffective
nfkvn ineffectiveness
nfktl ineffectual
nfk^l ineffectuality
nfkta| ineffectually
enefkash inefficacious
enefkse inefficacy
enefesh inefficiency
enefesht inefficient
eneleg inelegant
enelej ineligible
eneku inequality

# Page 96 Column 2
ene~t inert
enersha&' inertia
ene~t-n inertness
enestmb inestimable
enevt inevitable
nesak inexact
nesaktet inexactitude
neskeu inexcusable
nesos inexhaustible
nesor^b inexorability
nesorb inexorable
nespdns inexpedience
nespdn-t inexpedient
nspe inexperience
nesplek inexplicable
nesplest inexplicit
nespr inexpressible
nfal^b infallibility
nfalb infallible
nfamus infamous
nfanse infancy
nfant infant
nfantil infantile
nfantre infantry
nfatut infatuate
nfateush infatuation
nfekshus infectious

# Page 96 Column 3
nfelestus infelicitous
nfel^s) infelicity
nfer infer
nferns inference
nferr inferior
nfer^r inferiority
nfe~nl infernal
nfes infest
nfedl infidel
nfed^l infidelity
nfeltra infiltrate
nfeltrash infiltration
nfenet infinite
nfenet-n infiniteness
nfenetes infinitesimal
nfenetv infinitive
nf^nt infinity
nfem infirm
nfemre infirmary
nf^mt infirmity
nflam inflame
nflam^b inflammability
nflamb inflammable
nflamsh inflammation
nflam^re inflammatory
nfla inflate
nflash inflation

# Page 97 Column 1
nfl inflect
nflsh inflection
nflex^b inflexibility
nflexb inflexible
nfl inflict
nf influence
nfsh influential
nflunza influenza
nflux influx
nfm inform
nfm^l informality
nfmsh information
nfme~ informer
nfraksh infraction
nfrek infrequency
nfrek infrequent
nfrenj infringe
nfrenjm infringement
nfeura&'t infuriate
nfeu infuse
njenus ingenious
njenusn ingeniousness
anshanu ingenue
njenute ingenuity
njnus ingenuous
n-glos) inglorious
engot ingot
n-gran ingrain

# Page 97 Column 2
n-grasha&'t ingratiate
n-grat ingratitude
n-gredn-t ingredient
n-gron ingrown
en'abt inhabit
en'abtn inhabitant
en'al inhale
en'a~mnus inharmonious
en'e~nt inherent
en'e~t inherit
en'e~tb inheritable
en'e~tns inheritance
en'ebt inhibit
en'ospt inhospitable
en'eumn inhuman
en'eum inhume
enem^k inimical
enemet inimitable
eneke_te iniquity
enesh initial
enesha&'t initiate
enesha&'sh initiation
eneshtv initiative
eneshtre initiatory
njk inject
njdsh injudicious
njnk injunction

# Page 97 Column 3
nju injure
nju injury
njus injuries
njuus injurious
njus-s injustice
enk ink
enkl' inkling
nlad inlaid
nland inland
nla inlay
n-mat inmate
nmo inmost
en inn
enat innate
ene~ inner
ene~mo innermost
? enervat innervate
en' inning
enos innocence
enos innocent
enok innocuous
enovat innovate
enovash innovation
enundo innuendo
eneumb innumerable
enok^u inoculate
enok^ush inoculation
enofens inoffensive
enoprtn inopportune

# Page 98 Column 1
enodn inordinate
enognek inorganic
n-kes inquest
n-ki inquire
n-ki^r inquirer
n-ka&e inquiry
n-kes-sh inquisition
n-kestv inquisitive
n-kestvn inquisitiveness
n-kestr inquisitor
nrod inroad
n-san insane
ns^nt insanity
nsashb insatiable
nskr inscribe
nskrsh inscription
nskrutb inscrutable
n-sek insect
n-sekr insecure
n-sek^r insecurity
n-sensa insensate
n-sens^b insensibility
n-sensb insensible
nsepr inseparable
nse~t insert
nsesh insertion
n-set inset

# Page 98 Column 2
nsi inside
n-sedus insidious
n-sit insight
n-segna&' insignia
n-sg insignificance
n-sg insignificant
n-sense insincere
n-sen^r insincerity
n-seneu insinuate
n-seneush insinuation
nsepd insipid
nss insist
nssnt insistent
nsolens insolence
nsolent insolent
