
up'old uphold
up'olste~ upholster
upkp upkeep
upleft uplift
pn upon
upr upper
uprmo uppermost
upri upright
upror uproar
uprorus uproarious
upset upset
upsi upside
ups upstairs
upsta~ upstart

# Page 194 Column 2
upd upward
euranek uranic
erbn urban
erban urbane
urb^nt urbanity
e~chn urchin
e~j urge
ejnt urgent
e~n urn
eu^j usage
euf useful
eul useless
ushe~ usher
ush usual
ush usually
eusfruk usufruct

# Page 194 Column 3
eushrr usurer
eus-rus usurious
eus-rp usurp
eushre usury
eutnsel utensil
eutelet utilitarian
euteletsm utilitarianism
eut^l utility
eutliz utilize
ut-mo utmost
eutopn utopian
ute~ utter
utens utterance
? ute~e utterly
utemo uttermost
