eun-sm	unionism
eun^st	unionist
euniz	unionize
eunek	unique
eun-sn	unison
uneshud	unissued
eunet	unit
eunetra&'n	Unitarian
eunetre	unitary
euni	unite
euni^t	united
eu^nt	unity
eunv	universe
eunv^l	universality
eunvle	universally
eunveste	university
njusfb	unjustifiable
n-ki	unkind
n-ka&enes	unkindliness
una&e	unknightly
unet	unknit
unon	unknown
unob	unknowable
	
# Page 244 Column 1	
uno'	unknowing
nladela	unladylike
nlondr^t	unlaundered
nlof	unlawful
nlen	unlearn
nlevnd	unleavened
nl	unless
nle^t	unlettered
nli-snst	unlicensed
nla	unlike
nlae	unlikely
nls^t	unlisted
nlvb	unlovable
nluke	unlucky
n-ma~^b	unmailable
n-mak	unmake
n-man	unman
n-mnjb	unmanageable
n-mne~e	unmannerly
n-mared	unmarried
n-mask	unmask
n-me~td	unmerited
n-minf	unmindful
n-mstb	unmistakable
n-mst	unmistaken
	
# Page 244 Column 2	
n-meteg^t	unmitigated
n-moles^t	unmolested
n-mntd	unmounted
una^t	unnamed
unatrl	unnatural
uness	unnecessary
unev	unnerve
unum^t	unnumbered
nobshb	unobjectionable
unobse^nt	unobservant
unobtnb	unobtainable
unokp^t	unoccupied
unopnd	unopened
nog^t	unorganized
unothodox	unorthodox
unosstntash	unostentatious
npd	unpaid
npalatb	unpalatable
np^l^t	unparalleled
npa~dnb	unpardonable
nprl^re	unparliamentary
nptesn	unpartisan
nples	unpleasant
npolsht	unpolished
npop	unpopular
	
# Page 244 Column 3	
npresdn^t	unprecedented
nprej^t	unprejudiced
npremedat^t	unpremeditated
npren^t	unprincipled
nprfeshl	unprofessional
nprftb	unprofitable
nprgv	unprogressive
nprmes'	unpromising
npb^t	unpublished
npnk	unpunctual
n-kof^t	unqualified
n-kshb	unquestionable
n-kshd	unquestioned
n-kit	unquiet
nr-snb	unreasonable
nrknizd	unrecognized
nredmd	unredeemed
nrela^t	unrelated
nrpntnt	unrepentant
nrprvd	unreproved
nrki^t	unrequired
nrss'	unresisting
nrs^nd	unrestrained
nrs^kt	unrestricted
nriv^t	unrivaled
	
# Page 245 Column 1	
nrld	unruled
nrle	unruly
n-saf	unsafe
n-sed	unsaid
nsalb	unsalable
n-sanktf^t	unsanctified
n-sat	unsatisfactory
n-skld	unschooled
n-skrupus	unscrupulous
n-sesnb	unseasonable
n-seme	unseemly
n-sen	unseen
ns^sh	unselfish
n-seveb	unserviceable
n-setld	unsettled
unsh	unship
n-site	unsightly
n-sind	unsigned
n-skld	unskilled
n-sklf	unskillful
n-soshb	unsociable
n-soeld	unsoiled
n-solje~e	unsoldierly
n-solestd	unsolicited
n-sof^sta^t	unsophisticated
	
# Page 245 Column 2	
n-sot	unsought
n-snt	unsound
nspb	unspeakable
nspes^t	unspecified
nspoeld	unspoiled
nspkn	unspoken
n-stand	unstained
n-stampt	unstamped
n-stde|	unsteadily
n-stentd	unstinted
n-strng	unstrung
n-stded	unstudied
n-s-stnsh	unsubstantial
n-sukf	unsuccessful
n-sutb	unsuitable
n-sng	unsung
nss^kt	unsuspected
n-suev'	unswerving
n-semetr^k	unsymmetrical
nss^a	unsystematic
n-tantd	untainted
n-tamd	untamed
n-tangl	untangle
n-tansht	untarnished
nth^b	unthinkable
	
# Page 245 Column 3	
n-tide	untidy
n-tide|	untidily
nte	until
n-tu	unto
n-to	untold
n-tcht	untouched
n-tod	untoward
n-trakt	untracked
n-trb^t	untroubled
n-tru	untrue
n-trf	untruthful
neu^b	unusable
neu^t	unused
nush	unusual
unuterb	unutterable
nva~nsht	unvarnished
nvest	unversed
nuontb	unwarrantable
nuontd	unwarranted
nuare	unwary
nuosht	unwashed
nuavr'	unwavering
nlkm	unwelcome
nl	unwell
un'ol-sm	unwholesome
	
# Page 246 Column 1	
nuelde	unwieldy
nl'	unwilling
nuind	unwind
nuaund	unwound
nuis	unwise
nuet'	unwitting
nontd	unwonted
nuue	unworldly
nuuthe	unworthy
nrap	unwrap
nreth	unwreathe
nretn	unwritten
uneld'	unyielding
up	up
upbrad	upbraid
up'evl	upheaval
up'eld	upheld
up'el	uphill
up'old	uphold
upkp	upkeep
upland	upland
upleft	uplift
upmo	upmost
pon	upon
upr	upper
	
# Page 246 Column 2	
uprmo	uppermost
upri	upright
upror	uproar
up-set	upset
up-sta~|	upstairs
up-sta~t	upstart
uptd	up-to-date
upt-n	uptown
upd	upward
up'ol-ste~	upholster
up'ol-ste~^r	upholsterer
up'ol-ste~e	upholstery
euranem	uranium
erbn	urban
n^erbn	interurban
s)rbn	suburban
erban	urbane
erb^nt	urbanity
e~j	urge
e~jd	urged
e~jse	urgency
ejnt	urgent
e~n	urn
eu	use
abeu	abuse
	
# Page 246 Column 3	
ds(eu	disuse
ms(eu	misuse
neu^t	unused
eu^b	usable
eu^j	usage
euf	useful
eufnes	usefulness
eul	useless
ushe~	usher
ush	usual
nush	unusual
ushe	usually
eushre	usury
eusfruk	usufruct
eushrr	usurer
eushrus	usurious
eu-srp	usurp
eu-srpash	usurpation
eu-srp	usurper
eutnsel	utensil
eutliz	utilize
uneutlizd	unutilized
eutlet	utilitarian
eutlet^sm	utilitarianism
eut^l	utility
	
# Page 247 Column 1	
eutlizb	utilizable
ut-mo	utmost
ute~	utter
	
# Page 247 Column 2	
unuterb	unutterable
utens	utterance
ute~d	uttered
	
# Page 247 Column 3	
ute~e	utterly
utemo	uttermost
ute~|	utters
