ga~d-d	guarded
ga~da&e~n	guardian
!	guardsman
!	guava
!	gubernatorial
ge~tn	guerdon
grela	guerrilla
gid	guide
gitns	guidance
!	guidebook
gid-d	guided
!	guild
gil	guile

# Page 91 Column 2
bgi	beguile
!	guillotine
gelt	guilt
glte|	guiltily
!	guiltiness
geltl	guiltless
gelte	guilty
gene	guinea
gis	guise
geta~	guitar
gule	gullet
gulb	gullible
glp	gulp
gm	gum
gn	gun
!	gunboat
!	guncotton
!	gunfire
!	gunman
!	gunner
!	gunnery

# Page 91 Column 3
!	gunpowder
!	gunshot
!	gunsmith
gns(to	gunstock
gnl	gunwale
gergl	gurgle
gsh	gush
!	gusher
gus(et	gusset
gust	gust
!	gusto
gute~	gutter
gutrl	guttural
jem-nas	gymnasium
jem-nas	gymnast
jem-n^s(t	gymnastic
jeps(m	gypsum
jepse	gypsy
jira	gyrate
!	gyratory
!	gyroscope

