# Page 197 Column 1
s(k^l	self-control
!	self-deceit
s(^dfens	self-defense
!	self-denial
!	self-destruction
!	self-determined
!	self-educated
!	self-esteem

# Page 202 Column 1
s(^ev	self-evident
!	self-examination
!	self-executing
s(^gv	self-government
!	self-importance
!	self-induced
!	self-indulgence
s(n^s	self-interest
s(^sh	selfish
s(^shn	selfishness
!	unselfish
!	self-love
!	self-made
!	self-perception
s(^posst	self-possessed
s^relins^	self-reliance
!	self-renunciation
!	self-reproach
s(^res	self-respect
srs^nt	self-restraint
!	self-righteous
s(^sakref	self-sacrifice
!	self-satisfied
!	self-starter
!	self-styled

# Page 202 Column 2
s(^suf	self-sufficient
!	self-supporting
!	self-surrender
selvj	selvage
!	semantics
!	semaphore
!	semblance
s(e~me~s(te~	semester
s(emanl	semiannual
!	semicircle
!	semicircular
!	semicivilized
s(emekoln	semicolon
!	semidetached
!	semifinal
!	seminar
semnre	seminary
!	semiofficial
!	semiopaque
!	semiprecious
!	semitransparent
!	semiweekly
s(enat	senate
s(e~nate~	senator
senatrl	senatorial

# Page 202 Column 3
!	senatorially
senatrsh	senatorship
s(en	send
gds(en	godsend
!	missent
s(en^r	sender
s(ent	sent
senl	senile
!	senility
senr	senior
s(en^r	seniority
!	sensate
n-sensa	insensate
sensash	sensation
sensashl	sensational
!	sensationalism
!	sensationally
s(ens	sense
sensl	senseless
sens^b	sensibility
s(ensb	sensible
s(ensdf	sensitive
s(ensdfte	sensitivity
!	sensitization
!	sensitize

# Page 203 Column 1
!	sensitizer
!	sensory
!	sensual
!	sensualism
!	sensuality
!	sensually
!	sensuous
s(entns	sentence
sen-tn	sententious
sensht	sentient
!	sentience
!	sentiency
s(entem	sentiment
s(ent^m	sentimental
!	sentimentalism
sent^mes	sentimentalist
!	sentimentality
!	sentimentalize
!	sentimentally
sen-tnl	sentinel
sentre	sentry
sepr	separate
!	separability
seprb	separable
sepre	separately

# Page 203 Column 2
seprsh	separation
seprtst	separatist
!	separative
sepr^r	separator
sepa&'	sepia
!	sepoy
!	sepsis
!	septic
a^sep	antiseptic
sepul	sepulcher
sepull	sepulchral
!	sepulture
seke_l	sequel
seke_ns	sequence
!	sequester
seke_ste~^t	sequestered
!	sequestrate
!	sequestration
!	sequin
!	Sequoia
seraf	seraph
!	seraphic
!	seraphim
!	Serbian
s(enad	serenade

# Page 203 Column 3
!	serenata
seren	serene
!	serenely
!	sereneness
ser^nt	serenity
!	serf
s(ej	serge
se~jnt	sergeant
serl	serial
serle	serially
seres	series
sers	serious
!	seriousness
s(e~mn	sermon
s(e~mnis	sermonize
sepnt	serpent
sepntin	serpentine
serm	serum
!	serous
s(ev	serve
s(evnt	servant
s(evd	served
s(evr	server
seves	service
s(b^	serviceable

# Page 204 Column 1
sevl	servile
!	servility
sevtr	servitor
sevtu	servitude
ssame	sesame
sesh	session
sete	settee
s(etl	settle
s(etl-d	settled
s(etlm	settlement
setlr	settler
ns(etl-d	unsettled
sevr	sever
sevrb	severable
sevrans	severance
s(ev	several
!	severalty
s(ever	severe
sev^r	severity
!	sew
s(od	sewed
!	sewn
seur	sewer
!	sewage
seurj	sewerage

# Page 204 Column 2
sextn-t	sextant
!	sextet
sextn	sexton
shabe	shabby
!	shabbily
!	shabbiness
shakl	shackle
shad	shade
!	shadier
!	shadiest
!	shadily
!	shadiness
shado	shadow
shado,e	shadowy
shade	shady
shaft	shaft
shak	shake
!	shaker
!	shakily
!	shakiness
!	Shakespearean
sh	shall
shalo	shallow
!	shallowly
!	shallowness

# Page 204 Column 3
shamb	shamble
sham	shame
shamfast	shamefaced
shamf	shameful
shaml	shameless
shampu	shampoo
shamrok	shamrock
shangi	shanghai
!	shank
!	shan't
shap	shape
shapd	shaped
!	shapeless
!	shapeliness
!	shapely
!	shaper
sha~	share
!	shared
sha^ol-dr	shareholder
!	sharer
shark	shark
sharp	sharp
sharpn	sharpen
sharpnd	sharpened
!	sharpener

# Page 205 Column 1
sharpr	sharper
!	sharpest
!	sharpness
!	sharpshooter
!	sharp-witted
zate~	shatter
!	non-shatterable
zate~d	shattered
she~	shear
!	sheared
!	shears
!	sheath
shepesh	sheepish
she~	sheer
!	sheerer
!	sheerest
!	sheerly
!	sheerness
shelf	shelf
!	shelves
!	shellac
shelfesh	shellfish
shelte~	shelter
!	sheltered
shelterl	shelterless

# Page 205 Column 2
sherbt	sherbet
sherf	sheriff
shere	sherry
sheftl	shiftless
shel	shilling
sheme~	shimmer
!	shimmery
shengl	shingle
sh	ship
!	reship
sh^bor	shipboard
sh^blr	shipbuilder
!	shipload
!	shipmate
shm	shipment
!	shipowner
sh^r	shipper
!	shipshape
sh^rek	shipwreck
!	shipwright
sh^a~|d	shipyard
!	unship
!	shire
sherk	shirk
she~t	shirt

# Page 205 Column 3
shevr	shiver
shok	shock
shode	shoddy
shu	shoe
shus	shoes
shut	shoot
shot	shot
shop	shop
!	shopkeeper
!	shoplifter
!	shopper
!	shopworn
rkshop	workshop
sh^	short
sh^j	shortage
sh^kak	shortcake
sh^km'	shortcoming
sh^n	shorten
sh^r	shorter
sh^st^	shortest
sh^nt	shorthand
sh^lavd	short-lived
sh^e	shortly
sh^nes	shortness
sh^si	shortsighted

# Page 206 Column 1
!	shortstop
shd	should
sholdr	shoulder
shuvl	shovel
shaur	shower
sho,e	showy
sho,e|	showily
!	showiness
shrud	shrewd
!	shrift
shrin	shrine
shrenk	shrink
!	shrank
shrenkj	shrinkage
shriv	shrive
!	shriven
shraud	shroud
shrub	shrub
shrug	shrug
shude~	shudder
shude~d	shuddered
shufl	shuffle
!	shuffled
shn	shun
!	shunned

# Page 206 Column 2
shnt	shunt
shut	shut
!	shutdown
shute~	shutter
!	shy
!	shied
!	shier
!	shiest
!	shyly
shines	shyness
sebelant	sibilant
!	sibyl
sek	sick
!	sickened
!	sickliness
!	sickly
s(eknes	sickness
si	side
bsi	beside
!	sideboard
!	sidelong
!	sidepiece
s(ids	sides
!	sidestep
!	sidetrack

# Page 206 Column 3
!	sidewalk
s(it	sight
sitl	sightless
!	sightliness
!	sightly
!	sight-seeing
n-site	unsightly
s(gn	signal
!	signaler
!	signalize
!	signally
seg	signature
!	signatory
!	unsigned
sgnef	signify
ns(g	insignificant
s(g	significant
s(ge	significantly
sg^f	signification
s(il	silence
!	silencer
s(ilent	silent
selu,t	silhouette
!	silicon
!	silica

# Page 207 Column 1
!	silicate
selk	silk
selkn	silken
selknes	silkiness
!	silkworm
!	silt
selv	silver
!	silversmith
!	silverware
!	silvery
!	simian
s(emel	similar
semel^r	similarity
seme|	simile
semeletu	similitude
s(emp	simple
s(empr	simpler
s(emp^st	simplest
s(emp^s(	simplicity
semp^f	simplification
s(empf	simplify
s(empe	simply
sem^u	simulate
dsem^ush	dissimulation
simul	simultaneous

# Page 207 Column 2
sens	since
s(ense	sincere
n-sense	insincere
s(ensee	sincerely
s(ens^r	sincerity
sinekr	sinecure
seneu	sinew
!	sinewy
s(enge~	singer
s(eng	single
!	singleness
s(enge	singly
s(engu	singular
s(engu^r	singularity
s(engue	singularly
seneste~	sinister
!	sinner
seneus	sinuous
seneu^s)	sinuosity
!	sinus
sifn	siphon
!	siphoned
s(	sir
!	sire
siren	siren

# Page 207 Column 3
seloe	sirloin
!	sirup
ss(te~	sister
ss(te~^d	sisterhood
sstelo	sister-in-law
sste~e	sisterly
s(et-n	situation
s(eteutd	situated
sis	size
!	sizable
!	sizes
skletn	skeleton
!	skeletonize
skeptek	skeptic
!	skeptical
skeptss	skepticism
s(kech	sketch
!	sketchily
!	skewer
s(kl	skill
s(kl-d	skilled
sklf	skillful
!	unskillful
skrmesh	skirmish
s(ke~t	skirt

# Page 208 Column 1
ski	sky
!	skies
!	skylark
skili	skylight
!	skyrocket
skiskrapr	skyscraper
!	skyward
slak	slack
slakn	slacken
!	slackness
slandr	slander
!	slanderer
slandrus	slanderous
slant	slant
!	slanted
!	slatternly
slote~	slaughter
slote~d	slaughtered
!	slaughterer
!	slaughterhouse
slav	slave
nslavm	enslavement
!	slaveholder
slavre	slavery
!	slavish

# Page 208 Column 2
slep	sleep
slepr	sleeper
slepe	sleepily
slepe-n	sleepiness
slepl	sleepless
slept	slept
slend	slender
!	slenderer
!	slenderest
!	slenderness
slis	slice
sli	slight
!	slighter
slis(t	slightest
sla&e	slightly
slit-n	slightness
!	sliminess
!	slimily
slim-n	slimness
sleng	sling
slep	slip
!	slipknot
!	slippage
slepr	slipper
slepren	slipperiness

# Page 208 Column 3
!	slipshod
slup	sloop
!	sloth
slothf	slothful
slauch	slouch
slau	slough
!	slovenly
slo	slow
slor	slower
slost	slowest
sloe	slowly
slons	slowness
!	sludge
sluga~d	sluggard
slugesh	sluggish
slus	sluice
slusa_	sluiceway
slmb	slumber
slmb^r	slumberer
!	slumberous
!	slung
!	underslung
slr	slur
slsh	slush
sli	sly

# Page 209 Column 1
!	slier
!	sliest
sla&e	slyly
s(mo	small
s(mor	smaller
s(most	smallest
smon	smallness
smopox	smallpox
s(ma~t	smart
!	smarten
s(ma~tr	smarter
!	smartest
!	smartly
sma~t-n	smartness
smelt	smelt
s(mi~	smile
s(mi~s	smiles
smit	smite
s(mok	smoke
smokl	smokeless
smokr	smoker
!	smokestack
!	smokiest
smoldr	smolder
s(muth	smooth

# Page 209 Column 2
s(muthd	smoothed
!	smoothen
s(muthr	smoother
!	smoothest
smuthn	smoothness
smuth	smother
!	smothered
smuj	smudge
smugl	smuggle
!	smuggled
!	snapshot
snarl	snarl
sne~	sneer
snort	snort
!	snout
s(no	snow
snobol	snowball
!	snowfall
!	snowflake
!	snowplow
!	snowshoe
!	snowslide
!	snowstorm
sno,e	snowy
snuf	snuff

# Page 209 Column 3
!	snuffle
sok	soak
s(op	soap
!	soapiness
s(obr	sober
s(osh	social
s(osh^b	sociability
s(oshb	sociable
s(oshsm	socialism
s(oshst	socialist
s(osh^st	socialistic
s(oshissh	socialization
s(oshis	socialize
s(oshe	socially
ss(	society
sosh^o	sociology
sodn	sodden
sodem	sodium
soda	soda
sofa	sofa
s(oft	soft
sofn	soften
sofnes	softness
s(oel	soil
soje~n	sojourn

# Page 210 Column 1
!	sojourned
!	sojourner
solas	solace
solr	solar
sode~	solder
solje~	soldier
!	soldierly
solje~e	soldiery
solss	solecism
s(olem	solemn
solem^nt	solemnity
solemezsh	solemnization
solemiz	solemnize
!	solemnly
!	solenoid
s(oles(t	solicit
solestsh	solicitation
solestr	solicitor
solestus	solicitous
solestu	solicitude
!	unsolicited
s(oled	solid
soled^r	solidarity
!	solidification
soledf	solidify

# Page 210 Column 2
soledte	solidity
!	solidly
soled-n	solidness
solel	soliloquy
soleliz	soliloquize
soleta~	solitaire
soletre	solitary
soletu	solitude
solstes	solstice
s(olsh	solution
sol^b	solubility
solb	soluble
solv	solve
solvb	solvable
solvnt	solvent
solvnse	solvency
sombr	somber
s(m	some
s(mbo	somebody
s(mau	somehow
s(mun	someone
s(m'	something
s(tm	sometime
s(tms	sometimes
s(mot	somewhat

# Page 210 Column 3
s(ma~	somewhere
!	somnambulism
som-nambesh	somnambulist
som-nlent	somnolent
sonata	sonata
s(ong	song
songste~	songster
s(nlo	son-in-law
sonet	sonnet
sonorus	sonorous
!	sonority
s(n	soon
!	sooner
snst	soonest
suth	soothe
!	soothed
s(of^s(ta	sophisticate
!	sophistication
sofestre	sophistry
sofmor	sophomore
!	soporific
sprano	soprano
sosere	sorcery
!	sorcerer
sodd	sordid

# Page 211 Column 1
sodd-n	sordidness
s(or^r	sorority
s(oro	sorrow
sorof	sorrowful
s(ore	sorry
s(ot	sort
!	assorted
s(ot-d	sorted
s(ot	sought
!	unsought
s(ol	soul
!	soulful
soll	soulless
s(nt	sound
s(ntd	sounded
!	soundest
sndl	soundless
!	soundly
!	soundness
ns(nt	unsound
sup	soup
sos	source
rs(os(f	resourceful
s(os-s	Sources
s(au	south

# Page 211 Column 2
ses	southeast
sesre	southeasterly
ses(tn	southeastern
s(uthe	southerly
suthene~	southerner
!	southernmost
s(u	southwest
s(ure	southwesterly
suvne~	souvenir
sov	sovereign
sovte	sovereignty
spas	space
spashus	spacious
!	spandrel
spangl	spangle
spnel	spaniel
spnesh	Spanish
spar	spare
!	spared
spark	spark
sparkl	sparkle
spars	sparse
!	sparsity
spasm	spasm
spasmod	spasmodic

# Page 211 Column 3
!	spasmodically
sp	speak
bsp	bespeak
sp^r	speaker
spk	spoke
spkn	spoken
nsp	unspeakable
sp	special
esp	especial
!	specialist
!	specialization
spis	specialize
spe	specially
spte	specialty
spes(k	specific
spes(^f	specification
spes	specify
!	unspecified
!	specie
speshes	species
spes(mn	specimen
speshus	specious
spkt^k	spectacle
spktak	spectacular
!	spectacularly

# Page 212 Column 1
spktat	spectator
spkte~	specter
spktrl	spectral
!	spectroscope
spktrm	spectrum
spk^u	speculate
!	speculum
sp	speech
sp^l	speechless
spmakr	speechmaker
spd	speed
!	speedily
!	speedometer
!	speedway
spl	spell
!	misspell
!	speller
sjnt	spend
!	misspent
spndthref	spendthrift
!	spermaceti
sfer	sphere
'emesf	hemisphere
sfer^k	spherical
!	spheroid

# Page 212 Column 2
sfenks	sphinx
spis	spice
!	spiciness
spide~	spider
!	spidery
spgt	spigot
spik	spike
!	spill
!	spilled
!	spillway
spen	spin
spnste~	spinster
!	spun
spnj	spinach
!	spine
spinl	spinal
!	spineless
spenet	spinet
spirl	spiral
spir	spire
spr	spirit
sprl	spiritless
sprulsm	spiritualism
sprules	spiritualist
spr^l	spirituality

# Page 212 Column 3
sprulis	spiritualize
sprule	spiritually
spr^us	spirituous
spit	spite
dspi	despite
spit	spiteful
splendr	splendor
splent	splendid
!	splendorous
splent	splint
splentr	splinter
spoel	spoil
!	spoilage
spoeld	spoiled
!	spoliate
!	spoliation
!	spoliative
!	spoliator
spnj	sponge
sponsor	sponsor
spontete	spontaneity
spont	spontaneous
spun	spoon
spunf	spoonful
!	tablespoon

# Page 213 Column 1
tespn	teaspoon
spot	sport
spotv	sportive
spotsmn	sportsman
spotsmnsh	sportsmanship
spot	spot
spotl	spotless
!	spotlight
spotd	spotted
spaus	spouse
sprol	sprawl
!	sprightly
spreng	spring
sprenkl	sprinkle
!	sprinkled
!	sprinkler
sproket	sprocket
spraut	sprout
!	spunk
spur	spur
spurus	spurious
spe~n	spurn
spe~t	spurt
spi	spy
!	spied

# Page 213 Column 2
sko_d	squad
sko_drn	squadron
sko_l	squall
sko_lr	squalor
sko_led	squalid
!	squalidity
sko_nd	squander
s(ka_r	square
sko_sh	squash
!	squat
sko_te~	squatter
sko_	squaw
!	squeak
ske_l	squeal
ske_msh	squeamish
!	squeegee
ske_z	squeeze
!	squeezed
ske_b	squib
!	squid
ske_nt	squint
ske_rm	squirm
ske_rl	squirrel
!	squirt
!	stabile

# Page 213 Column 3
s(t^b	stability
stablissh	stabilization
stablis	stabilize
!	stabilizer
stab	stable
stakato	staccato
stadem	stadium
!	stadia
!	stadiums
s(taf	staff
s(tavs	staves
s(taj	stage
!	stagecoach
!	stagecraft
stagr	stagger
stagnat	stagnate
stagn	stagnant
stagnash	stagnation
stan	stain
!	stained
s(ta~	stair
starkas	staircase
!	stairway
stlkti	stalactite
stlgmi	stalagmite

# Page 214 Column 1
stok	stalk
!	stallion
stole~_t	stalwart
stamna	stamina
stmr	stammer
!	stammerer
s(tamp	stamp
stmpd	stampede
stanch	stanch
!	stanchion
s(tn	stand
neths	notwithstanding
!	stand-off
!	standpipe
s(tnoe	standpoint
sttns(te~	standstill
s(tu	stood
u^s(tu	understood
ethstn	withstand
!	withstood
s(tnad	standard
!	standardization
s(tnadis	standardize
stnza	stanza
stapl	staple

# Page 214 Column 2
!	stapler
s(ta~	star
!	starfish
!	starlight
!	starry
stach	starch
!	stare
!	stared
stark	stark
!	starling
s(ta~t	start
s(ta~td	started
s(ta~tl	startle
s(ta~tl-d	startled
stav	starve
stavash	starvation
!	starved
s(t	state
es(t	estate
!	instate
!	misstatement
rnst	reinstate
!	statehood
!	statehouse
sten	stateliness

