# Page 181 Column 1
rflv	reflective
rfl^r	reflector
rflex	reflex
rflexv	reflexive
rfm	reform
rfmsh	reformation
!	reformative
rfm^re	reformatory
!	reformed
rfme~	reformer
rfrak	refract
rfraksh	refraction
!	refractive
!	refractivity
rfrakr	refractor
!	refractory
rfran	refrain
!	refrained
rfresh	refresh
rfreshm	refreshment
rfrej	refrigerate
rfrej	refrigeration
!	refrigerative

# Page 186 Column 2
rfrej^r	refrigerator
rfeuj	refuge
rfeuje	refugee
rfljnt	refulgent
rfnt	refund
!	refunded
!	refurnish
rfeu	refuse
rfeul	refusal
rfeud	refused
rfeus	refuses
rfeut	refute
rfeutsh	refutation
regan	regain
!	regained
regl	regal
!	regally
regal	regale
regala&'	regalia
rg	regard
dsre	disregard
re^f	regardful
re^les	regardless
rgs	regards
!	unregarded

# Page 186 Column 3
regata	regatta
re~jenrat	regenerate
!	regeneracy
re~jenratsh	regeneration
!	regenerative
!	regenerator
!	unregenerate
rjnt	regent
!	regicide
rejemn	regimen
rejm	regiment
!	regimental
rjn	region
rjnl	regional
re~j	register
re~jd	registered
rejestrar	registrar
re~jsh	registration
re~jre	registry
!	regnant
reg	regret
reg^f	regretful
reg^b	regrettable
reg	regular
ereg	irregular

# Page 187 Column 1
reg^u	regularity
reg^u	regulate
!	regulatory
!	regurgitate
!	regurgitation
re'belta	rehabilitate
re'beltsh	rehabilitation
re'rs	rehearse
re'rsl	rehearsal
rmbrs	reimburse
rmbrsm	reimbursement
!	reimport
!	reimportation
rn-krnsh	reincarnation
!	reindeer
rnst	reinstate
!	reinsure
!	reinvigorate
!	reissue
retra	reiterate
retrash	reiteration
rjk	reject
!	dejected
ejk	eject
rjksh	rejection

# Page 187 Column 2
rjoes	rejoice
rjoesd	rejoiced
rjoes-s	rejoices
rjoen	rejoin
rjoendr	rejoinder
rjuv	rejuvenate
!	rejuvenation
!	rejuvenescence
!	rekindle
relaps	relapse
rela	relate
rela^t	related
relash	relation
relashl	relational
relash^sh	relationship
rel	relative
rel^vte	relativity
rlaks	relax
relaxsh	relaxation
rlaksd	relaxed
rlaks-s	relaxes
reles	release
releg	relegate
relegsh	relegation
relent	relent

# Page 187 Column 3
relentl	relentless
relvnt	relevant
erel	irrelevant
relvns	relevance
!	relevancy
relib	reliable
reli^b	reliability
relins	reliance
s^relint^	self-reliant
nrelib	unreliable
relef	relief
relevb	relievable
relejn	religion
!	irreligious
relejus	religious
releng	relinquish
!	relinquishment
relesh	relish
reluk	reluctant
reluk	reluctance
remn	remain
re~mne~	remainder
remnt	remained
reman	remand
rm	remark

# Page 188 Column 1
rmb	remarkable
!	remarry
remte	remedy
eremtb	irremediable
!	remediable
remedl	remedial
remn	remember
!	remembrancee
remin	remind
reminr	reminder
reminf	remindful
remnes	reminiscent
remnes	reminiscence
!	remiss
!	remission
rem	remit
!	remittal
rem	remittance
!	remittent
!	remitter
rem-n	remnant
!	remonstrate
remons	remonstrance
!	remonstrant
!	remonstrates

# Page 188 Column 2
!	remonstration
