limkel	limekiln
limli	limelight
limo_te~	limewater
lemet	limit
lemetb	limitable
lemsh	limitation
lemetd	limited
lemetl	limitless
	
# Page 126 Column 1	
lem-sen	limousine
lempd	limpid
lempdte	limpidity
len-dn	linden
lan	line
alan	align
lenj	lineage
lenl	lineal
lenam	lineament
lena&e~	linear
land	lined
lan-man	lineman
lane~	liner
relan	reline
nland	unlined
lenen	linen
lenge~	linger
lanshre	lingerie
lengl	lingual
lenge_s	linguist
leng^st	linguistic
leng^sts	linguistics
lenem	liniment
lenkj	linkage
lenol	linoleum
	
# Page 126 Column 2	
lanotip	linotype
lentl	lintel
la&en	lion
la&enes	lioness
la&eniz	lionize
leke_d	liquid
leke_faksh	liquefaction
leke_fb	liquefiable
leke_f	liquefy
leke_snt	liquescent
leke_dt	liquidate
leke_dsh	liquidation
leke_dte~	liquidator
leke_dte	liquidity
lekr	liquor
lera	lira
lera	lire
les(m	lissom
ls	list
nls	enlist
lsl	listless
ls-s	lists
rnls	reenlist
lesn	listen
lesnd	listened
	
# Page 126 Column 3	
lesne~	listener
lete~	liter
let	literate
elet	illiterate
letse	literacy
letl	literal
letl-sm	literalism
let^l	literality
letliz	literalize
letre	literary
letr	literature
t^let	transliterate
letharj	litharge
lith	lithe
lith-sm	lithesome
letha&'	lithia
lethm	lithium
leth^o	lithograph
leteg	litigate
letegb	litigable
letegnt	litigant
letsh	litigation
letejus	litigious
let-mus	litmus
lete~	litter
	
# Page 127 Column 1	
let	little
letrl	littoral
letje	liturgy
letjk	liturgic
lev	live
lav	live
levd	lived
lave^d	livelihood
lavenes	liveliness
lavlng	livelong
levr	liver
levre	livery
levd	livid
leza~d	lizard
lof	loaf
lovs	loaves
lom	loam
loth,	loathe
lothf	loathful
lothe	loathly
loth-sm	loathsome
lobe	lobby
lobe^st	lobbyist
lobste~	lobster
lok	local
	
# Page 127 Column 2	
lok-sm	localism
lok^l	locality
lokezash	localization
lokiz	localize
loka|	locally
lok	locate
alok	allocate
dslok	dislocate
loksh	location
lok	lock
lokr	locker
loket	locket
lokjo	lockjaw
lokau	lockout
loksmeth	locksmith
lokmosh	locomotion
lokmotv	locomotive
lokus	locus
losi	loci
lokus	locust
loj	lodge
loje~	lodger
lojm	lodgment
loft	loft
lofte|	loftily
	
# Page 127 Column 3	
loftenes	loftiness
logrethm	logarithm
loja&'	loggia
lojk	logic
eloj^k	illogical
loj^k	logical
lojesh	logician
logtip	logotype
loguud	logwood
loete~	loiter
loete~d	loitered
loete~^r	loiterer
lon	lone
lonenes	loneliness
lon-sm	lonesome
lon-sm-nes	lonesomeness
lng	long
blng	belong
elngat	elongate
lngbot	longboat
lng^t	longed
lnge~	longer
lnges	longest
lngjvte	longevity
lng'nd	longhand
	
# Page 128 Column 1	
lng'orn	longhorn
lnjtu	longitude
lngtudnl	longitudinal
lngshorman	longshoreman
prlng	prolong
lu	look
aulu	outlook
lup	loop
lup'ol	loophole
lus	loose
lusn	loosen
lusnd	loosened
lusnes	looseness
loka_sh	loquacious
lok^s	loquacity
lod	lord
lodenes	lordliness
lod^sh	lordship
lor	lore
lornet	lorgnette
lus	lose
losb	losable
los	loss
los(t	lost
lotre	lottery
	
# Page 128 Column 2	
lotus	lotus
lau	loud
laur	louder
laust	loudest
laue	loudly
launes	loudness
lnj	lounge
lv	love
lvb	lovable
lvl	loveless
lvenes	loveliness
lve	lovely
lvr	lover
lvsek	lovesick
nlvb	unlovable
lo	low
lobon	lowborn
loboe	lowboy
lor	lower
lormo	lowermost
lo-st	lowest
loland	lowland
loenes	lowliness
lones	lowness
lopreshu	low-pressure
	
# Page 128 Column 3	
lospr^t	low-spirited
loe	loyal
loe^st	loyalist
loe	loyalty
lbrek	lubricate
lbreknt	lubricant
lbreksh	lubrication
lbrek^r	lubricator
lusnt	lucent
lused	lucid
lusedte	lucidity
luk	luck
luke|	luckily
lukenes	luckiness
lukl	luckless
lukrtv	lucrative
lukbrash	lucubration
ludek	ludicrous
lugj	luggage
lugub	lugubrious
luko_m	lukewarm
lmbgo	lumbago
lmbr	lumber
lumnus	luminous
lumnre	luminary
	
# Page 129 Column 1	
lumnesnt	luminescent
lumn^s	luminosity
lmp	lump
luna~	lunar
lunse	lunacy
lun^a	lunatic
lnch	lunch
lnchn	luncheon
lrch	lurch
lr	lure
	
# Page 129 Column 2	
lred	lurid
lrk	lurk
lshus	luscious
luste~	luster
lustrus	lustrous
lut	lute
luthran	Lutheran
lux	luxury
luxns	luxuriance
luxnt	luxuriant
	
# Page 129 Column 3	
luxt	luxuriate
luxus	luxurious
li-sem	lyceum
lemf^a	lymphatic
lenks	lynx
la&enas	lyonnaise
lir	lyre
lerk	lyric
ler^k	lyrical
lerss	lyricism
