med-sn	medicine
medev	medieval
medeva|	medievally
medokr	mediocre
medok^r	mediocrity
	
# Page 134 Column 3	
medtat	meditate
medtsh	meditation
medtatv	meditative
medm	medium
meda&'	media
medms	mediums
mershm	meerschaum
melan	melancholy
melana&'	melancholia
melan-k	melancholic
melra	meliorate
amelra	ameliorate
melrash	melioration
melef	mellifluous
melodrama	melodrama
melodram^a	melodramatic
melode	melody
melodn	melodeon
melodek	melodic
melodus	melodious
melt	melt
mmbr	member
mmbr^sh	membership
mmo	memorandum
mma	memoranda
	
# Page 135 Column 1	
mmos	memorandums
mmre	memory
kmmra	commemorate
memnto	memento
mmo_r	memoir
mmrbela&'	memorabilia
mmrb	memorable
mmorl	memorial
mmrezash	memorization
mmriz	memorize
mnas	menace
mnash	menage
mnajre	menagerie
mndash	mendacious
mnd^s	mendacity
mndeknt	mendicant
mndeknse	mendicancy
menl	menial
mnenji	meningitis
mneskus	meniscus
mnshush	mensuration
kmnshut	commensurate
dmensh	dimension
mnsutv	mensurative
mntl	mental
	
# Page 135 Column 2	
mnt^l	mentality
mnta|	mentally
mnsh	mention
mnshd	mentioned
mntr	mentor
mef^a	mephitic
merkt	mercantile
mersnre	mercenary
merseriz	mercerize
mecht	merchant
mechdis	merchandise
mecht-man	merchantman
merkre	mercury
merkrl	mercurial
merse	mercy
merse-f	merciful
merse-l	merciless
me~	mere
me~e	merely
me~^st	merest
me~tresh	meretricious
mej	merge
meje~	merger
me~da&'n	meridian
me~denl	meridional
	
# Page 135 Column 3	
merang	meringue
mereno	merino
me~t	merit
me~td	merited
me~trus	meritorious
n-me~td	unmerited
me~mad	mermaid
mere	merry
mere|	merrily
merem	merriment
meremak'	merrymaking
masa	mesa
mesmriz	mesmerize
mesmrsm	mesmerism
mesket	mesquite
mesj	message
mesje~	messenger
metbl-sm	metabolism
metl	metal
metlk	metallic
metloe	metalloid
metlrje	metallurgy
metmorfs	metamorphose
metmorfss	metamorphosis
metfr	metaphor
	
# Page 136 Column 1	
metfr^k	metaphorical
metfesks	metaphysics
metfes^k	metaphysical
metfesesh	metaphysician
metor	meteor
metork	meteoric
metori	meteorite
metor^o(	meteorology
mete~	meter
methd	method
methd^k	methodical
methdes	methodist
metek	meticulous
metrk	metric
metr^k	metrical
metrnom	metronome
metrp	metropolis
metrpol	metropolitan
meznen	mezzanine
ma&esma	miasma
misml	miasmal
ma&esm^a	miasmatic
mikrb	microbe
mikrb^o(	microbiology
mikrokosm	microcosm
	
# Page 136 Column 2	
makrokosm	macrocosm
mikromete~	micrometer
mikroog	microorganism
mikrofn	microphone
mikroskp	microscope
mikroskpk	microscopic
med-ni	midnight
meds	midst
mede_ntr	midwinter
mat	might
omate	almighty
mate|	mightily
matenes	mightiness
mate	mighty
migra	migrate
migrash	migration
migra^re	migratory
mild	mild
milde	mildly
mild-nes	mildness
meldu	mildew
mi~	mile
mi~^j	mileage
mipost	milepost
miston	milestone
	
# Page 136 Column 3	
meletn	militant
meletnse	militancy
melet-sm	militarism
melet^st	militarist
melet^st	militaristic
melet	military
meleta	militate
melesha	militia
melk	milk
melkman	milkman
melke_d	milkweed
melen	millennium
melenre	millenary
melenl	millenial
melene~	milliner
melene~e	millinery
meln	million
melna~	millionaire
melnth	millionth
mme^o	mimeograph
mmek	mimic
mmekre	mimicry
mnaret	minaret
mnatre	minatory
min	mind
	
# Page 137 Column 1	
minf	mindful
remin	remind
n-minf	unmindful
mind	mined
mnerl	mineral
mner^o(	mineralogy
mengl	mingle
mna&'tr	miniature
mnemiz	minimize
mnemezash	minimization
mnemm	minimum
mneste~	minister
amnes	administer
mnesterl	ministerial
mnestrash	ministration
mnestre	ministry
mine~	minor
mnste~	minster
mnstrel	minstrel
mn-t	mint
mnuet	minuet
minus	minus
mnet	minute
mnut	minute
mnusha&'	minutia
	
# Page 137 Column 2	
mer^k	miracle
merak	miraculous
merash	mirage
merr	mirror
merth	mirth
merthf	mirthful
merthl	mirthless
ms)avntr	misadventure
msalins	misalliance
ms)anth(rp	misanthrope
ms)anth(rpk	misanthropic
ms)anth(rp^k	misanthropical
msaprendd	misapprehended
msaprensh	misapprehension
msaprpra&'t	misappropriate
msara	misarrange
msb'av	misbehave
msb'avr	misbehavior
mskal	miscalculate
mskae	miscarry
mskaes	miscarries
msejnsh	miscegenation
mselan	miscellaneous
mselana&'	miscellanea
mselanes	miscellanist
	
# Page 137 Column 3	
mselane	miscellany
msch	mischief
mschus	mischievous
msksepsh	misconception
mskduk	misconduct
msks(^	misconstrue
msks(^ksh	misconstruction
msknt	miscount
mskntd	miscounted
mskra&'nt	miscreant
msded	misdeed
msdm	misdemeanor
miser	miser
msere	misery
mserb	miserable
msfesns	misfeasance
msfir	misfire
msfet	misfit
msftn	misfortune
msge'	misgiving
msgv	misgovern
ms'ap	mishap
msnfm	misinform
msn^p	misinterpret
msjjd	misjudged
	
# Page 138 Column 1	
msled'	misleading
msla	mislike
msmnj	mismanage
msna	misname
msnome~	misnomer
msplas	misplace
msprent	misprint
msprnns	mispronounce
msko_t	misquote
msred	misread
msrp	misrepresent
msrpsh	misrepresentation
msrl	misrule
msel	missile
mesh	mission
meshre	missionary
mesv	missive
mspl	misspell
mspld	misspelled
msst	misstate
msst-m	misstatement
mst	mistake
mste	mistakenly
n-mstb	unmistakable
mselto	mistletoe
	
# Page 138 Column 2	
mstuk	mistook
mstret	mistreat
mstres	mistress
mstril	mistrial
mstrs	mistrust
dstrs	distrust
mstrsf	mistrustful
ms^stn	misunderstand
ms^stu	misunderstood
mseu	misuse
mite~	miter
mite~d	mitered
meteg	mitigate
metegb	mitigable
metegsh	mitigation
metn	mitten
mex	mix
amextr	admixture
mesb	miscible
mext	mixed
mexer	mixer
mexs	mixes
mextr	mixture
nemnek	mnemonic
mon	moan
	
# Page 138 Column 3	
mond	moaned
mobl	mobile
emobl	immobile
mo^b	mobility
moblezash	mobilization
mobliz	mobilize
mokasen	moccasin
mok	mock
mokre	mockery
mod	moderate
