enapreshb	inappreciable
enapresh^v	inappreciative
enaprpra&'t	inappropriate
enapt	inapt
enaptet	inaptitude
ena~tek^u	inarticulate
ena~t^st	inartistic
nsmch	inasmuch
enatnsh	inattention
tnsh	attention
atntv	attentive
enatntv	inattentive
enodb	inaudible
enog	inaugurate
enog^l	inaugural
enogsh	inauguration
enospesh	inauspicious
nbon	inborn
n-kalb	incalculable
n-kdes	incandesce
n-kdesns	incandescence
n-kdesnt	incandescent
n-ktsh	incantation
n-kap	incapable
n-kapasta	incapacitate
	
# Page 105 Column 3	
n-kapastsh	incapacitation
n-krsera	incarcerate
n-krnat	incarnate
n-krnsh	incarnation
nsendre	incendiary
nsens	incense
nsen-tv	incentive
nsepsh	inception
nse~tet	incertitude
nssnt	incessant
nch	inch
n-koat	inchoate
nsedn	incident
nsedns	incidence
nsednl	incidental
nsdnla|	incidentally
nsenra	incinerate
nsenrash	incineration
nsenra^r	incinerator
nsepent	incipient
nsis	incise
nsist	incised
nsesh	incision
nsisv	incisive
nsisr	incisor
	
# Page 106 Column 1	
nsit	incite
nsit-m	incitement
nsv^l	incivility
e^mnt	inclement
klemn-t	clement
e^mnse	inclemency
e^n	incline
de^n	decline
e^nsh	inclination
e^nd	inclined
re^n	recline
n-k	inclose
n-k^r	inclosure
e^d	include
e^dd	included
e^sh	inclusion
e^sv	inclusive
n-kneto	incognito
n-ko'erent	incoherent
n-ko'erens	incoherence
n-kbusb	incombustible
n-km	income
n-kmnshut	incommensurate
n-kprb	incomparable
n-kptb	incompatible
	
# Page 106 Column 2	
n-kpat^b	incompatibility
n-kptn	incompetent
n-kptns	incompetence
n-kp	incomplete
n-kprensb	incomprehensible
n-kprens^b	incomprehensibility
n-kkv	inconclusive
n-kgruus	incongruous
n-kgrute	incongruity
n-kseksh	inconsequential
n-ks^at	inconsiderate
n-ksb	inconsiderable
n-kss^nt	inconsistent
n-kssnse	inconsistency
n-ksolb	inconsolable
n-kspk	inconspicuous
n-kspke	inconspicuously
n-kstnse	inconstancy
n-ktesb	incontestable
n-k^ve~tb	incontrovertible
n-kven	inconvenient
n-kven	inconvenience
n-krp	incorporate
n-krp	incorporation
n-krp^r	incorporator
	
# Page 106 Column 3	
n-kr	incorrect
n-korej	incorrigible
n-korej^b	incorrigibility
n-korpb	incorruptible
n-korp^b	incorruptibility
n-kres	increase
n-krest	increased
n-kredb	incredible
n-kred^b	incredibility
n-kred^l	incredulity
n-kredlus	incredulous
n-krem	increment
n-kremnat	incriminate
n-kremnsh	incrimination
n-krematre	incriminatory
n-keubat	incubate
n-keubash	incubation
n-keubate~	incubator
n-keubus	incubus
n-kul	inculcate
n-kulsh	inculcation
n-klpat	inculpate
n-klpash	inculpation
n-klpatre	inculpatory
n-kmbent	incumbent
	
# Page 107 Column 1	
n-keunab	incunabula
n-kr	incur
n-keub	incurable
n-dt^t-nes	indebtedness
ndsent	indecent
ndsense	indecency
ndsesh	indecision
ndsisv	indecisive
ndekorus	indecorous
ndekorm	indecorum
n-dd	indeed
n-dfat	indefatigable
n-dfensb	indefensible
n-dfinb	indefinable
ndfn	indefinite
n-dfn-nes	indefiniteness
ndelb	indelible
ndel^b	indelibility
ndelek	indelicate
ndelekse	indelicacy
n-dm-nf	indemnify
n-dm-n^f	indemnification
ndm^nt	indemnity
ndnt	indent
ndntsh	indentation
	
# Page 107 Column 2	
ndntd	indented
ndnsh	indention
ndntr	indenture
ndp	independent
ndp	independence
ndskrb	indescribable
nds^kb	indestructible
ne~mnat	indeterminate
ne~mnb	indeterminable
ndex	index
ndexer	indexer
ndexs	indexes
ndeses	indices
nda&'n	Indian
ndek	indicate
k^ndek	contraindicate
ndeksh	indication
ndekv	indicative
ndek^r	indicator
ndek^re	indicatory
ndsha&'	indicia
ndit	indict
nditb	indictable
ndit-m	indictment
n-df	indifference
	
# Page 107 Column 3	
n-df	indifferent
n-dfe	indifferently
ndjnus	indigenous
ndjnt	indigent
ndj	indigence
ndjesh	indigestion
ndjesb	indigestible
ndegn	indignant
ndegnsh	indignation
ndeg^nt	indignity
ndego	indigo
ndrk	indirect
ndrksh	indirection
ndrknes	indirectness
ndskret	indiscreet
ndskresh	indiscretion
ndskremnat	indiscriminate
ndsp	indispensable
ndspo	indispose
ndsposh	indisposition
ndspub	indisputable
ndsolb	indissoluble
ndst	indistinct
ndste	indistinctly
ndst-nes	indistinctness
	
# Page 108 Column 1	
ndstb	indistinguishable
ndit	indite
ndv	individual
ndvsm	individualism
ndv^st	individualist
ndv^st	individualistic
ndv^l	individuality
ndviz	individualize
n-dvesb	indivisible
ndolent	indolent
ndolens	indolence
ndometb	indomitable
ndors	indoors
ndos	indorse
ndost	indorsed
ndose	indorsee
ndosm	indorsement
ndoser	indorser
ndoss	indorses
n-ndost	unindorsed
ndbtb	indubitable
ndus	induce
ndusm	inducement
nduk	induct
ndukns	inductance
	
# Page 108 Column 2	
nduksh	induction
ndukv	inductive
ndukr	inductor
ndlj	indulge
ndlj	indulgence
ndljnt	indulgent
nds	industry
ndsl	industrial
ndsl-sm	industrialism
ndsles	industrialist
ndsliz	industrialize
ndsle	industrially
ndsus	industrious
enebra&'t	inebriate
enebra&'sh	inebriation
enebri	inebriety
enedb	inedible
enef	ineffable
nfkv	ineffective
nfktl	ineffectual
nfktle	ineffectually
enefesht	inefficient
enefeshse	inefficiency
eneleg	inelegance
eneleg	inelegant
	
# Page 108 Column 3	
enelejb	ineligible
eneluk	ineluctable
enept	inept
eneptet	ineptitude
neku	inequality
eneke_tb	inequitable
eneradekb	ineradicable
enerant	inerrant
ene~t	inert
enersha&'	inertia
ene~t-nes	inertness
enes)tmb	inestimable
enevtb	inevitable
enevt^b	inevitability
nes)ak	inexact
nes)aktet	inexactitude
nes)keub	inexcusable
nesosb	inexhaustible
nesos^b	inexhaustibility
nesosbe	inexhaustibly
nesorb	inexorable
nespdnt	inexpedient
nespnsv	inexpensive
nspe	inexperience
nesplekb	inexplicable
	
# Page 109 Column 1	
nes^kb	inextricable
nes^k^b	inextricability
nfalb	infallible
nfal^b	infallibility
nfame	infamy
nfamus	infamous
nfant	infant
nfanse	infancy
nfantsi	infanticide
nfantil	infantile
nfantre	infantry
nfateut	infatuate
nfateutd	infatuated
nfateush	infatuation
nfesb	infeasible
nfek	infect
nfeksh	infection
nfekshus	infectious
nfelestus	infelicitous
nfel^s	infelicity
nfer	infer
nferens	inference
nferensh	inferential
nferr	inferior
nfer^r	inferiority
	
# Page 109 Column 2	
nfe~nl	infernal
nfe~no	inferno
nfe~tl	infertile
nfe~t^l	infertility
nfes	infest
nfedl	infidel
nfed^l	infidelity
nfeltra	infiltrate
nfenet	infinite
nfenetes	infinitesimal
nfenetv	infinitive
nfenetu	infinitude
nf^nt	infinity
nfem	infirm
nfemre	infirmary
nfemete	infirmity
nflam	inflame
nflam^b	inflammability
nflamb	inflammable
nflamsh	inflammation
nflamatre	inflammatory
nfla	inflate
nfla^t	inflated
nflash	inflation
nfl	inflect
	
# Page 109 Column 3	
nflsh	inflection
nflexb	inflexible
nflex^b	inflexibility
nfl	inflict
nflsh	infliction
nf	influence
nfsh	influential
n-nf^t	uninfluenced
nflunza	influenza
nflux	influx
eflux	efflux
nfm	inform
nfml	informal
nfm^l	informality
nfm^nt	informant
nfmsh	information
nfmatv	informative
nfme~	informer
msnfm	misinform
nnfm^t	uninformed
nfraksh	infraction
nfranj	infrangible
nfrek	infrequent
nfrenj	infringe
nfrenjm	infringement
	
# Page 110 Column 1	
nfeura&'t	infuriate
nfeura&'td	infuriated
nfeu	infuse
nfeub	infusible
nfeush	infusion
njenus	ingenious
njenute	ingenuity
njnuus	ingenuous
njes	ingest
njesh	ingestion
n-glos)	inglorious
engot	ingot
n-gran	ingrain
n-grand	ingrained
n-grasha&'t	ingratiate
n-grasha&'sh	ingratiation
n-grasha&'tre	ingratiatory
n-grednt	ingredient
n-gres	ingress
n-gron	ingrown
en'abt	inhabit
en'abtb	inhabitable
en'abtnse	inhabitancy
en'abtn	inhabitant
en'abtsh	inhabitation
	
# Page 110 Column 2	
en'abtd	inhabited
unen'abtd	uninhabited
en'al	inhale
en'alash	inhalation
en'ald	inhaled
en'alr	inhaler
en'a~mnus	inharmonious
en'e~	inhere
en'e~^t	inhered
en'e~ns	inherence
en'e~nt	inherent
en'e~t	inherit
ds)en'e~t	disinherit
'e~dtre	hereditary
'e~tj	heritage
en'e~tb	inheritable
en'e~tns	inheritance
en'e~td	inherited
en'e~te~	inheritor
en'ebt	inhibit
en'ebsh	inhibition
en'ebtre	inhibitory
en'osptb	inhospitable
en'eumn	inhuman
en'euman	inhumane
	
