'e~metj	hermitage
'ero	hero
'erok	heroic
’ero^k	heroical
'eron	heroine
'ero-sm	heroism
'eron	heron
'er'	herring
'ers	herself
'esta	hesitate
'estns	hesitance
'estnse	hesitancy
'estn	hesitant
'estsh	hesitation
	
# Page 96 Column 2	
un’es)ta’	unhesitating
'etrojenus	heterogeneous
’etrojnete	heterogeneity
'omojenus	homogeneous
'esagn	hexagon
'esag	hexagonal
’esamete~	hexameter
'esangu	hexangular
’esapod	hexapod
'a&etus	hiatus
'ibe~nat	hibernate
'ibe~nsh	hibernation
'ekre	hickory
'id	hide
'edn	hidden
'edus	hideous
'irarke	hierarchy
'ir^a	hieratic
'i	high
'it	height
'itn	heighten
'ibon	highborn
’iboe	highboy
'i'ndd	high-handed
'iland	highland
	
# Page 96 Column 3	
'ilandr	highlander
'a&e	highly
’imin^t	high-minded
'ines	highness
’ipreshu	high-pressure
’irod	highroad
’i^ua	highway
’i^uaman	highwayman
’ik	hike
'ilar	hilarious
'il^r	hilarity
'el	hill
’elenes	hilliness
'elok	hillock
'elsi	hillside
’eltop	hilltop
'elt	hilt
’ems	himself
'endr	hinder
'endrans	hindrance
’enj	hinge
'ent	hint
’entd	hinted
'epdrom	hippodrome
'epptm	hippopotamus
	
# Page 97 Column 1	
'ir	hire
'irl'	hireling
'er-sut	hirsute
s	his
'es	hiss
'est^o(	histology
'estre	history
'estra&'n	historian
'estrk	historic
'estr^k	historical
'estronek	histrionic
'ech	hitch
'eth	hither
'ethtu	hitherto
'iv	hive
'ord	hoard
'ob	hobble
'og	hog
’ogbak	hogback
’ogfesh	hogfish
'ogsh	hoggish
'ogsed	hogshead
'oge_d	hogweed
’oest	hoist
'oleda	holiday
	
# Page 97 Column 2	
'olo	hollow
'ole	holy
’ole|	holily
'olenes	holiness
un’ole	unholy
'omj	homage
'om	home
'oml	homeless
'omla	homelike
'omlenes	homeliness
'om-seknes	homesickness
’omspn	homespun
'om-std	homestead
'om^d	homeward
'omopthe	homeopathy
'omerk	Homeric
'omsi	homicide
’omsi^l	homicidal
'ome|	homily
’omel^as	homiletics
'omne	hominy
'omojenus	homogeneous
'etrojenus	heterogeneous
’omognete	homogeneity
'omolg	homologous
	
# Page 97 Column 3	
'omnem	homonym
'omnk	homunculus
ones	honest
dsones	dishonest
onese	honestly
onese	honesty
'une	honey
’unebe	honeybee
’unekom	honeycomb
'uned	honeyed
'unemun	honeymoon
’unes)ukl	honeysuckle
one~	honor
dsone~	dishonor
onerb	honorable
onerrm	honorarium
onerre	honorary
unone~^t	unhonored
'ud	hood
’udd	hooded
’ude_nk	hoodwink
'ukuum	hookworm
'op	hope
'opfe	hopefully
'opfnes	hopefulness
	
# Page 98 Column 1	
'ople	hopelessly
un’opt	unhoped
’op-skoch	hopscotch
'oriz)n	horizon
'orezont	horizontal
'orezonte|	horizontally
'ornd	horned
'ornet	hornet
'ors)kp	horoscope
'orr	horror
'orb	horrible
'ored	horrid
'orf	horrify
'ors	horse
'orsbak	horseback
’orschesnut	horse-chestnut
’orsflesh	horseflesh
’orsfli	horsefly
'orsar	horsehair
'orsid	horsehide
’orsman	horseman
'p	horsepower
’orsradsh	horse-radish
'orsshu	horseshoe
’orse_p	horsewhip
	
# Page 98 Column 2	
’orsumn	horsewoman
un’orst	unhorsed
'otatre	hortatory
'otekltr	horticulture
’oshe~	hosier
'oshe~e	hosiery
'osptl	hospital
'ospt^l	hospitality
'os)tj	hostage
'os(tl	hostile
’os)te|	hostilely
'os)t^l	hostility
'ot	hot
’ot’edd	hot-headed
’ot’us	hothouse
’ot-nes	hotness
’aund	hound
r	hour
r^glas	hourglass
re	hourly
'us	house
'us^old	household
'us^oldr	householder
'us(kp^r	housekeeper
usmad	housemaid
	
# Page 98 Column 3	
'us-s	houses
’usuom’	housewarming
'usif	housewife
'usrk	housework
is‘us	ice house
stor’us	storehouse
uar)s	warehouse
'ovl	hovel
'uvr	hover
au	how
n'au	anyhow
auv	however
ausov	howsoever
smau	somehow
'autser	howitzer
'ubb	hubbub
’uklbere	huckleberry
'ukste~	huckster
'euj	huge
'eugnot	Huguenot
'ulk	hulk
'eumn	human
'euman	humane
’euman-nes	humaneness
’eumn-sm	humanism
	
