onat	ornate
onam	ornament
	
# Page 153 Column 3	
on^m	ornamental
onamsh	ornamentation
oneth^o(	ornithology
orot-nd	orotund
ofn	orphan
ofnj	orphanage
ofnd	orphaned
ofn^d	orphanhood
othokrom^a	orthochromatic
othodox	orthodox
unothodox	unorthodox
othope	orthoepy
oth^oe	orthography
othpdek	orthopedic
osela	oscillate
oselash	oscillation
osela^r	oscillator
osela^re	oscillatory
os)k^u	osculate
oshe~	osier
os)mem	osmium
os)moss	osmosis
ospra	osprey
os)f	ossify
os)us	osseous
	
# Page 154 Column 1	
os)tntsh	ostentation
os)tnsb	ostensible
os)tntash	ostentatious
os)topth	osteopath
os)trass	ostracize
os)trass	ostracism
os)trech	ostrich
uth	other
uthi	otherwise
osheos	otiose
ote~	otter
rss	ourselves
au	out
aukast	outcast
auklas	outclass
aukm	outcome
aukrp	outcrop
aukri	outcry
audstns	outdistance
audors	outdoors
aur	outer
aurmo	outermost
aufeld	outfield
aufet	outfit
augen	outgeneral
	
# Page 154 Column 2	
aug	outgo
augroth	outgrowth
aulandsh	outlandish
aulo	outlaw
aule	outlet
aulan	outline
auland	outlined
aulev	outlive
aulu	outlook
aunum	outnumber
au^p	output
auraj	outrage
aurech	outreach
auregr	outrigger
ausi	outside
austn'	outstanding
autok	outtalk
au^d	outward
auuar	outwear
auuet	outwit
ovl	oval
uvn	oven
o^	over
o^os	overalls
o^o	overawe
	
# Page 154 Column 3	
o^bal	overbalance
o^bod	overboard
o^be~dn	overburden
o^kptiz	overcapitalize
o^chj	overcharge
o^kot	overcoat
o^km	overcome
o^dvl	overdevelop
o^du	overdo
o^drf	overdraft
o^drevn	overdriven
o^du	overdue
o^espo	overexpose
o^flo	overflow
o^'nd	overhand
o^'ang	overhang
o^'ol	overhaul
o^'ed	overhead
o^nf	overinfluence
o^lap	overlap
o^lu	overlook
o^ni	overnight
o^pau	overpower
o^produksh	overproduction
o^rech	overreach
	
# Page 155 Column 1	
o^rl	overrule
o^rn	overrun
o^ser	overseer
o^shado	overshadow
o^shu	overshoe
o^sit	oversight
o^siz	oversize
o^s-skr	oversubscribe
o^t	overt
o^tak	overtake
o^thro	overthrow
o^tm	overtime
	
# Page 155 Column 2	
o^ton	overtone
o^tr	overture
o^ten	overturn
o^uat	overweight
o^uelm	overwhelm
o^uelmd	overwhelmed
o^rot	overwrought
aul	owl
aule	owlet
aulsh	owlish
on	own
one~	owner
	
# Page 155 Column 3	
one~^sh	ownership
oxalk	oxalic
ox)ej	oxygen
dox)id	dioxide
# hydroxide is not shown with an aspirate here but has one on page 99
'idrox)id	hydroxide
mnox)id	monoxide
ox)id	oxide
ox)ediz	oxidize
ox)idroj	oxyhydrogen
protox)id	protoxide
oeste~	oyster
ozon	ozone
